NIM;Nama;Tahun_Masuk;Jenis_Kelamin;IPS1;IPS2;IPS3;IPS4;IPK;MK_Gagal;SKS_Lulus;Status_Skripsi;Jumlah_Bimbingan;Kehadiran;Keaktifan_Organisasi;Status_Cuti;Rata_IPS;Progress_SKS;Tren_IP;Ontime
2020181000;Karen Hardiansyah;2018;L;3.94;3.71;3.6;3.16;3.16;2;133;3;17;84;Aktif;0;3.6;0.92;-0.78;1
2020221001;Langgeng Hidayat, S.Pt;2022;L;3.84;3.56;3.71;3.02;3.97;2;138;3;10;82;Aktif;0;3.53;0.96;-0.82;1
2020191002;Hasna Hasanah, S.Sos;2019;L;2.05;2.04;2.22;2.37;2.52;7;82;2;8;63;Aktif;1;2.17;0.57;0.32;0
2020221003;Zamira Widodo;2022;P;3.15;3.57;3.14;3.29;3.37;0;130;5;23;90;Tidak Aktif;0;3.29;0.9;0.14;1
2020191004;Omar Haryanto;2019;L;3.74;3.12;3.51;3.59;3.05;1;128;3;22;83;Tidak Aktif;0;3.49;0.89;-0.15;1
2020201005;Ir. Edi Maryati;2020;P;3.0;2.97;3.95;3.97;3.81;0;139;5;13;92;Aktif;0;3.47;0.97;0.97;1
2020221006;Ibrahim Rajata;2022;P;2.92;3.65;3.44;3.12;3.5;2;144;4;16;82;Aktif;0;3.28;1.0;0.2;1
2020191007;Septi Puspasari;2019;P;3.89;3.18;3.66;3.31;3.52;0;132;3;22;88;Tidak Aktif;0;3.51;0.92;-0.58;1
2020201008;Pangeran Thamrin;2020;L;3.02;3.97;3.78;3.94;3.89;1;136;3;18;100;Aktif;0;3.68;0.94;0.92;1
2020221009;Maman Sudiati, S.IP;2022;L;3.91;3.0;3.2;3.05;3.33;2;132;3;24;92;Tidak Aktif;0;3.29;0.92;-0.86;1
2020221010;Lasmono Pudjiastuti;2022;L;3.13;3.81;3.36;3.28;3.54;2;135;3;17;81;Tidak Aktif;0;3.39;0.94;0.15;1
2020211011;Purwa Yuliarti;2021;P;3.76;2.98;3.99;3.77;3.2;0;131;5;20;86;Tidak Aktif;0;3.62;0.91;0.01;1
2020211012;Irma Kuswandari;2021;P;3.78;3.68;3.73;3.77;3.07;0;133;3;17;97;Tidak Aktif;0;3.74;0.92;-0.01;1
2020221013;Yulia Waskita;2022;P;2.94;3.85;3.62;3.33;3.06;2;137;4;17;84;Tidak Aktif;0;3.44;0.95;0.39;1
2020181014;Kasiyah Padmasari;2018;L;3.19;3.7;3.64;3.89;3.47;0;129;5;15;93;Aktif;0;3.61;0.9;0.7;1
2020211015;Sutan Olga Wibowo;2021;P;3.66;3.74;3.56;3.77;3.49;2;139;5;18;97;Aktif;0;3.68;0.97;0.11;1
2020181016;Salsabila Saptono, S.Gz;2018;P;3.31;2.93;3.11;3.03;3.64;2;135;3;19;93;Aktif;0;3.09;0.94;-0.28;1
2020211017;Kezia Kuswoyo;2021;L;3.41;3.9;3.25;3.41;3.76;2;133;5;15;96;Aktif;0;3.49;0.92;0.0;1
2020201018;Sutan Hasta Pratama;2020;L;2.89;3.22;3.16;3.93;3.81;0;136;3;10;99;Tidak Aktif;0;3.3;0.94;1.04;1
2020211019;Raihan Rahmawati;2021;L;3.85;3.78;3.19;3.89;3.54;0;136;4;17;81;Aktif;0;3.68;0.94;0.04;1
2020221020;Paris Wibowo;2022;L;2.88;2.21;2.13;2.27;2.43;3;116;1;1;74;Aktif;0;2.37;0.81;-0.61;0
2020211021;R.M. Daliman Waluyo, S.Gz;2021;L;2.83;1.81;2.61;2.5;2.22;5;103;2;6;56;Aktif;1;2.44;0.72;-0.33;0
2020211022;Ratna Santoso;2021;P;3.21;3.94;3.32;3.52;3.7;1;141;4;13;87;Aktif;0;3.5;0.98;0.31;1
2020181023;Ir. Slamet Suryono;2018;P;3.97;3.96;3.25;3.5;3.3;0;143;5;17;98;Aktif;0;3.67;0.99;-0.47;1
2020181024;Jaswadi Kusmawati;2018;L;2.84;3.57;3.5;3.05;3.28;2;126;3;12;81;Tidak Aktif;0;3.24;0.88;0.21;1
2020181025;Radit Hakim;2018;L;2.09;1.99;2.59;3.18;2.24;5;112;1;3;67;Aktif;1;2.46;0.78;1.09;0
2020191026;Zelda Mustofa;2019;P;2.71;2.11;2.87;2.44;2.63;6;82;0;1;71;Tidak Aktif;1;2.53;0.57;-0.27;0
2020211027;Prasetya Haryanti;2021;P;3.44;3.0;3.84;3.32;3.19;1;126;5;13;81;Tidak Aktif;0;3.4;0.88;-0.12;1
2020201028;R. Putu Manullang, M.Pd;2020;L;3.51;3.65;3.02;3.51;3.23;0;131;3;24;84;Tidak Aktif;0;3.42;0.91;0.0;1
2020191029;R. Rina Wulandari;2019;P;3.01;3.66;3.39;3.94;3.14;1;132;3;24;97;Aktif;0;3.5;0.92;0.93;1
2020181030;Sakura Simbolon, S.Farm;2018;L;2.94;3.92;3.88;3.26;3.66;0;132;3;23;95;Tidak Aktif;0;3.5;0.92;0.32;1
2020191031;Fitria Wahyuni;2019;P;2.47;2.49;2.29;2.11;2.9;3;80;1;0;62;Tidak Aktif;1;2.34;0.56;-0.36;0
2020201032;Puspa Maryadi, M.Ak;2020;P;2.56;2.24;2.42;2.87;2.9;8;116;2;7;54;Aktif;1;2.52;0.81;0.31;0
